default

0,3 799,3
3,0 3,592
796,0 796,592
0,596 799,596
6,65 70,65
67,69 67,128
6,131 70,131
67,194 67,327
6,331 70,331
6,398 71,398
67,457 67,592
71,529 202,529
199,530 199,592
133,6 133,134
133,194 133,267
133,327 133,463
130,463 336,463
200,392 200,459
266,523 266,592
333,523 333,592
465,532 465,592
397,529 468,529
530,392 530,592
397,463 527,463
400,400 400,459
263,398 466,398
333,333 333,394
197,331 336,331
658,529 792,529
729,530 729,592
726,463 792,463
596,460 596,532
599,463 665,463
396,331 533,331
596,194 596,334
600,331 665,331
659,265 731,265
728,269 728,401
592,398 725,398
263,264 335,264
199,194 199,267
203,197 270,197
266,6 266,135
200,62 200,134
204,65 401,65
398,6 398,63
332,128 332,200
336,131 401,131
398,135 398,267
463,195 463,267
530,6 530,68
728,130 728,200
732,197 799,197
596,6 596,69
600,66 666,66
729,6 729,69
733,66 799,66
463,6 463,134
460,132 666,132
530,135 530,267
663,136 663,201


